"Data Source","مؤشرات التنمية العالمية",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"البوسنة والهرسك","BIH","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1225445","1249206","1269967","1286346","1297823","1304170","1317288","1321241","1319071","1315792","1314312","1307525","1305858","1305740","1301774","1291594","1278883","1259742","1237192","1216662","1201152","1186052","1176086","1169272","1162112","1152705","1145225","1137238","1125917","1107466","1078368","1033819","981812","927486","878991","842974","817249","802501","794980","788036","776939","761428","739152","712829","687662","666534","643667","628233","616326","602028","583132","575948","561732","544353","530339","522688","505271","495882","490819","485041","",
"بيلاروس (روسيا البيضاء)","BLR","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","2369415","2443144","2502430","2548927","2587330","2618806","2626603","2629233","2623491","2606870","2579766","2531465","2488227","2447867","2406895","2362800","2329323","2288186","2246860","2214141","2197454","2194319","2207933","2232873","2258313","2278265","2307788","2330820","2338165","2340856","2336356","2327649","2313574","2291330","2254838","2208604","2137958","2070037","2001069","1928167","1848790","1777526","1701848","1626949","1560995","1507385","1468790","1440000","1421530","1413182","1413690","1427289","1449167","1478031","1510197","1543349","1569097","1586959","1599482","1612804","",
"بليز","BLZ","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","41684","43474","45113","46713","48332","49981","51591","53263","54901","56364","57568","59087","60435","61597","62607","63488","64291","64915","65439","66103","67108","67866","69120","70715","72351","73847","75730","77398","78885","80258","81510","82710","83866","85053","86454","88281","90184","92454","95096","97951","100760","103087","105192","107074","108785","110405","111462","112451","113354","114154","114838","115181","115555","115851","115961","115869","116133","116126","115993","115952","",
"برمودا","BMU","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"بوليفيا","BOL","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1507688","1541254","1573064","1603688","1633566","1662957","1700858","1736878","1771852","1806661","1841761","1885355","1927978","1969985","2011435","2052238","2101721","2149270","2194866","2238232","2279053","2326966","2371029","2412668","2453766","2495457","2542747","2590519","2638199","2684485","2728650","2780171","2827214","2871202","2914159","2956989","3004878","3051510","3096331","3138308","3177023","3218337","3256683","3292112","3324558","3353782","3383813","3408819","3429851","3448509","3465710","3480013","3494266","3507205","3516847","3522331","3528354","3529624","3527824","3525917","",
"البرازيل","BRA","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","31157128","32198545","33248710","34282646","35264393","36171507","37145263","37998320","38759213","39469830","40149099","40809879","41443300","42046821","42614826","43154714","43732470","44312159","44894824","45486349","46094175","46868661","47622814","48360948","49074188","49741938","50450077","51051451","51563040","52006092","52387546","52612862","52830907","53002939","53083587","53063542","53049115","52949283","52779666","52568794","52329021","52169700","51922409","51617299","51283174","50927580","50483960","50050595","49605067","49117317","48582701","48025329","47469181","46912941","46366979","45844252","45457971","45066349","44688338","44339804","",
"بربادوس","BRB","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","87975","89099","90045","90825","91464","91927","91746","91210","90425","89552","88651","86182","84094","82125","79949","77543","76851","75816","74950","74723","75088","73203","71971","71047","69972","68620","67645","66298","64809","63555","62693","61776","61270","61034","60831","60558","60312","59990","59646","59377","59209","58450","57918","57528","57173","56821","56573","56304","56061","55875","55701","55086","54454","53762","52990","52164","51306","50492","49712","48939","",
"بروناي دار السلام","BRN","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","35549","37739","40185","42743","45191","47430","49308","50926","52398","53927","55648","57401","59407","61546","63601","65465","67977","70038","71868","73657","75467","77462","79535","81644","83693","85632","86126","86628","87316","88314","89631","91614","93562","95463","97174","98551","100032","101045","101680","102030","102138","102405","102344","102213","102019","101615","101829","101567","101161","100905","100889","100265","100156","100302","100298","99946","100263","99734","98775","97994","",
"بوتان","BTN","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","94004","96675","98890","100956","103355","106334","109930","113990","118402","122879","127255","132279","137065","141720","146410","151213","156789","162306","167708","172859","177668","183420","188614","193522","198565","203988","210418","217199","223559","228301","230566","232026","231425","229740","228492","228826","229376","230804","232728","234413","235305","235215","234391","232809","230513","227583","225464","222805","219801","216702","213689","210443","207250","204228","201539","199284","197015","195483","194418","193369","",
"بوتسوانا","BWA","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","219415","226628","235378","244911","253946","261830","269822","276990","283864","291322","299944","309469","319709","330785","342781","355765","369981","385442","401875","418735","435486","451145","466359","481365","496578","512272","527828","542736","556420","568456","578604","589465","599177","607556","614276","619316","625484","629586","632012","633677","635233","638257","642099","646668","651646","657060","664758","672540","680251","687791","694859","703050","711303","719995","729562","740482","749812","759421","768949","777843","",
"جمهورية أفريقيا الوسطى","CAF","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","570960","586408","601824","617263","632529","647542","666695","685106","702478","718308","732248","752011","769497","785734","802196","820017","839236","858972","879943","902932","928399","956758","987671","1019431","1049305","1075405","1109675","1139491","1167091","1196046","1228794","1261036","1295666","1331680","1367178","1400727","1438961","1475663","1510639","1543846","1575409","1616056","1653636","1688931","1723135","1756688","1799705","1841947","1880652","1911778","1932638","1962904","1984053","1999095","2013369","2031129","2039896","2051953","2066940","2084086","",
"كندا","CAN","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","6040212","6184734","6302723","6403116","6488386","6551050","6586492","6586960","6552014","6489225","6424984","6428568","6332207","6245024","6157471","6057084","5981437","5875082","5751375","5643120","5578695","5536691","5515548","5503708","5499795","5499194","5518158","5556572","5596278","5668678","5729961","5790497","5853882","5909629","5951548","5970934","5998254","5993554","5958026","5914914","5880513","5843483","5816282","5781391","5742896","5699388","5667703","5635757","5616013","5608093","5606922","5636891","5657280","5671952","5691799","5709424","5740699","5799438","5881160","5956357","",
"أوروبا الوسطى ودول البلطيق","CEB","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","26671417","26777340","26719172","26557292","26352149","26091982","25734869","25509198","25303349","25038491","24682904","24517625","24316229","24107797","24014104","24093540","24279528","24591643","24967880","25310994","25575120","25877051","26079425","26195164","26282726","26364509","26297297","26274886","26225344","26026157","25661628","25277900","24725827","24134601","23538061","22947310","22287192","21687795","21123785","20546976","19855809","19127327","18421450","17797277","17236006","16759875","16413123","16143072","15952999","15828587","15690027","15654422","15567230","15468931","15416915","15432271","15357405","15405845","15519591","15599476","",
"سويسرا","CHE","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1284913","1320149","1356107","1381993","1398903","1407526","1420758","1435648","1450115","1461263","1464158","1466446","1468651","1466812","1457682","1434961","1399068","1364126","1330484","1296555","1264576","1238935","1214917","1191374","1169871","1152199","1145058","1138341","1134078","1134921","1144306","1160808","1182381","1205773","1226919","1242205","1252919","1256092","1255366","1254394","1253186","1246793","1240744","1233087","1223098","1211456","1198712","1189116","1184742","1181642","1178302","1183517","1189009","1197905","1210765","1225242","1241980","1256999","1269568","1281138","",
"جزر القنال","CHI","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","23546","23857","23955","24103","24399","24800","25025","25131","25373","25790","26254","26391","26375","26222","25936","25524","25198","24779","24320","23863","23440","23050","22674","22369","22171","22073","22110","22185","22334","22518","22683","23059","23363","23657","23985","24341","24593","24851","25083","25244","25307","25146","24949","24786","24700","24689","24789","24870","24919","24911","24829","25153","25340","25450","25533","25627","25780","25851","25896","25955","",
"شيلي","CHL","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","3208363","3281866","3358787","3434448","3501720","3556840","3613073","3655487","3687461","3714823","3740754","3760626","3779263","3795852","3808605","3816978","3821519","3824445","3825710","3825422","3823971","3825531","3824684","3824829","3830900","3845903","3861693","3888770","3923791","3961290","3998238","4042757","4082829","4118867","4151133","4178111","4200085","4211795","4213986","4207668","4193302","4159866","4124766","4085707","4040889","3991430","3944655","3896509","3848985","3805360","3767709","3744612","3722950","3706347","3697239","3695764","3696328","3698557","3699740","3694562","",
"الصين","CHN","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","265641893","263302831","268188604","278443818","287297670","294501997","304216738","310976161","316601067","323033758","330658357","340015460","348297760","355789052","361683794","365103747","365617362","364299712","361610403","357715831","352611901","345762315","339804660","333897749","327940857","323050142","321493844","321547481","322714350","323955099","324546177","328581656","328596758","326580984","325280651","325698399","320435561","319849182","320906193","319203340","312993544","307972185","298071840","285390312","273788404","265351992","258543763","254375415","252408571","251102769","249615182","248796397","248118129","247587326","247401658","247557811","248085474","248682677","248978380","248856284","",
"كوت ديفوار","CIV","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","1496541","1563745","1637235","1714638","1790734","1862846","1948999","2029801","2109467","2194272","2288604","2394015","2505006","2621771","2743497","2869868","3018611","3169423","3322759","3478400","3636086","3816120","3991849","4164069","4333358","4499525","4683401","4863084","5038743","5210492","5379227","5565259","5744947","5918790","6087942","6252846","6455631","6653487","6843059","7019420","7179534","7384318","7574369","7753576","7927471","8099732","8273827","8443741","8612013","8782124","8956699","9131422","9314150","9502695","9693494","9885342","10096340","10304484","10513276","10727580","",
"الكاميرون","CMR","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","2066922","2122955","2181122","2241093","2301863","2363120","2438786","2512905","2587225","2663986","2744393","2838852","2935256","3034110","3135443","3239428","3356812","3475601","3596880","3722101","3852219","3998184","4147942","4301280","4457500","4616024","4790972","4964312","5136025","5305645","5471854","5648846","5820189","5984783","6140912","6287522","6442065","6586666","6723901","6858642","6995203","7154771","7318139","7485884","7657833","7834424","8039623","8244889","8452983","8666896","8887236","9124136","9363030","9602252","9838323","10068777","10303606","10530807","10750080","10961786","",
"جمهورية الكونغو الديمقراطية","COD","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","6612285","6800322","6978772","7154849","7338372","7534716","7780753","8032303","8287239","8539589","8784829","9069852","9342781","9609089","9876847","10151478","10480851","10811307","11138918","11455748","11755476","12098135","12424418","12742772","13065298","13402719","13805183","14206514","14626284","15090560","15617193","16253000","16940043","17645223","18311360","18891940","19483679","19995381","20458093","20928272","21452137","22098396","22788309","23521885","24288989","25082559","25981325","26894835","27830147","28794601","29790152","30883281","31987778","33102008","34219747","35334818","36515647","37674170","38810574","39924875","",
"جمهورية الكونغو","COG","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","425386","439040","453200","467847","482876","498262","515657","533180","551010","569395","588477","609627","631189","653125","675345","697776","722275","746819","771332","795673","819734","844782","868942","892395","915410","938095","961164","984233","1007148","1029666","1051805","1074667","1097225","1119982","1143712","1168893","1196066","1224834","1255077","1286417","1318695","1354608","1390787","1428615","1470002","1516112","1565033","1618359","1674001","1728514","1779355","1839177","1894290","1945994","1996474","2047077","2095787","2143643","2190230","2234915","",
"كولومبيا","COL","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","7497977","7778652","8065802","8352973","8630085","8890240","9144243","9374644","9582478","9769180","9933161","10080688","10202128","10299612","10380576","10453849","10499066","10558918","10628802","10699497","10766635","10876850","10966792","11048565","11141213","11253225","11369601","11504467","11650430","11794642","11931202","12069064","12209430","12344879","12466790","12569782","12681364","12757414","12810229","12858240","12908991","12926322","12956074","12981994","12978062","12931241","12871413","12764672","12624293","12475104","12331562","12163648","12013338","11880164","11760522","11656662","11583180","11519581","11457872","11387177","",
"جزر القمر","COM","عدد السكان في الفئة العمرية صفر-14، الإجمالي","SP.POP.0014.TO","78957","81299","83705","86146","88536","90849","93389","95852","98225","100484","102617","104890","106976","109105","111624","114797","118839","123392","128288","133211","137878","142776","147500","152119","156771","161586","167083","172558","178052","183577","189109","194822","200437","205909","211168","216156","221083","225803","230294","234525","238510","242727","246699","250550","254454","258535","263138","267883","272792","277858","283078","288827","294662","300542","306376","312073","318051","323705","329087","334278","",
